,dataset,num_samples,mode,old_multicond,beta,max_time,norel_time,seed,acyclic_signal_version,total_time,total_error,diff_edges,edge_ratio,prop_common_edges,prop_diff_edges,sparsity,multi_single,b_value,mt_value,norel_value,norm_edges,norm_error,max_norm_edges,dist
22,../GSE186341-PANACEA.tsv.xz,7,multi,,0.2,7200,1800,0,True,4961.545023918152,0.0625,142,0.4127906976744186,0.0352112676056338,0.3943661971830985,0.3295829984820073,multi,0.2,7200,1800,0.012679703544959372,0.008928571428571428,0.42136498516320475,0.015507877667274697
25,../GSE186341-PANACEA.tsv.xz,7,multi,,0.25,7200,1800,0,True,5129.181168079376,0.0625,144,0.4161849710982659,0.0208333333333333,0.3680555555555556,0.3294044111081347,multi,0.25,7200,1800,0.012858290918832038,0.008928571428571428,0.42729970326409494,0.01565423371195219
24,../GSE186341-PANACEA.tsv.xz,7,multi,,0.05,7200,1800,0,True,6284.666244029999,0.0625,145,0.3908355795148248,0.0275862068965517,0.2896551724137931,0.3293151174211983,multi,0.05,7200,1800,0.012947584605768373,0.008928571428571428,0.4302670623145401,0.01572766145612984
6,../GSE186341-PANACEA.tsv.xz,7,multi,,0.1,7200,1800,0,True,7216.63920378685,0.0625,149,0.4293948126801152,0.0201342281879194,0.3892617449664429,0.3289579426734529,multi,0.1,7200,1800,0.013304759353513707,0.008928571428571428,0.4421364985163205,0.016022983779871103
38,../GSE186341-PANACEA.tsv.xz,7,single,,0.1,7200,0,0,True,226.09853720664975,0.0625,210,0.7216494845360825,0.0,0.7238095238095238,0.98124832574337,single,0.1,7200,0,0.018751674256630057,0.008928571428571428,0.6231454005934718,0.02076883904270685
28,../GSE186341-PANACEA.tsv.xz,7,single,,0.2,7200,0,0,True,220.0901801586151,0.0625,212,0.7285223367697594,0.0,0.7547169811320755,0.9810697383694972,single,0.2,7200,0,0.018930261630502723,0.008928571428571428,0.629080118694362,0.020930222004421874
27,../GSE186341-PANACEA.tsv.xz,7,single,,0.05,7200,0,0,True,223.93852710723877,0.0625,214,0.7353951890034365,0.0,0.7429906542056075,0.9808911509956246,single,0.05,7200,0,0.01910884900437539,0.008928571428571428,0.6350148367952522,0.021091882277955193
46,../GSE186341-PANACEA.tsv.xz,7,single,,0.15,7200,0,0,True,219.6683020591736,0.0625,215,0.738831615120275,0.0,0.7581395348837209,0.9808018573086884,single,0.15,7200,0,0.019198142691311725,0.008928571428571428,0.6379821958456974,0.02117281442206179
11,../GSE186341-PANACEA.tsv.xz,7,multi,,0.35,7200,1800,0,True,7218.931433200836,0.1207885489871847,141,0.4504792332268371,0.0212765957446808,0.3829787234042553,0.3296722921689436,multi,0.35,7200,1800,0.012590409858023038,0.017255506998169242,0.41839762611275966,0.02136049957648162
18,../GSE186341-PANACEA.tsv.xz,7,multi,,0.3,7200,1800,0,True,7215.645503044128,0.125,139,0.407624633431085,0.014388489208633,0.3669064748201439,0.3298508795428163,multi,0.3,7200,1800,0.01241182248415037,0.017857142857142856,0.4124629080118694,0.021746974235476273
12,../GSE186341-PANACEA.tsv.xz,7,multi,,0.0,7200,1800,0,True,70.8220841884613,0.0625,254,0.6978021978021978,0.0,0.7007874015748031,0.3195821055451379,multi,0.0,7200,1800,0.022680596481828734,0.008928571428571428,0.7537091988130563,0.024374758348066634
8,../GSE186341-PANACEA.tsv.xz,7,multi,,0.4,7200,1800,0,True,7220.76526594162,0.2002377015295576,131,0.400611620795107,0.0076335877862595,0.3282442748091603,0.330565229038307,multi,0.4,7200,1800,0.011697472988659701,0.028605385932793943,0.3887240356083086,0.03090467567674039
36,../GSE186341-PANACEA.tsv.xz,7,single,,0.0,7200,0,0,True,202.19085550308228,0.0625,337,0.930939226519337,0.0,0.7893175074183977,0.9699080275024556,single,0.0,7200,0,0.030091972497544424,0.008928571428571428,1.0,0.03138863164504104
45,../GSE186341-PANACEA.tsv.xz,7,single,,0.25,7200,0,0,True,220.62436699867249,0.2964285714285714,200,0.7194244604316546,0.0,0.72,0.9821412626127332,single,0.25,7200,0,0.01785873738726672,0.0423469387755102,0.5934718100890208,0.04595865233798928
15,../GSE186341-PANACEA.tsv.xz,7,multi,,0.45,7200,1800,0,True,7219.126415252686,0.313005669402941,130,0.3915662650602409,0.0,0.2538461538461538,0.3306545227252433,multi,0.45,7200,1800,0.011608179301723368,0.04471509562899157,0.3857566765578635,0.04619729000505138
13,../GSE186341-PANACEA.tsv.xz,7,multi,,0.5,7200,1800,0,True,7219.701135158539,0.3564120356699934,120,0.3738317757009345,0.025,0.25,0.3315474595946067,multi,0.5,7200,1800,0.010715242432360031,0.05091600509571335,0.35608308605341243,0.05203129822799885
31,../GSE186341-PANACEA.tsv.xz,7,single,,0.3,7200,0,0,True,222.741069316864,0.3791073643181952,198,0.75,0.0,0.7828282828282829,0.982319849986606,single,0.3,7200,0,0.017680150013394052,0.054158194902599315,0.5875370919881305,0.0569710257903441
19,../GSE186341-PANACEA.tsv.xz,7,multi,,0.65,7200,1800,0,True,7219.619400262833,0.6385399811019902,101,0.3713235294117647,0.0099009900990099,0.2574257425742574,0.333244039646397,multi,0.65,7200,1800,0.009018662380569694,0.09121999730028431,0.2997032640949555,0.09166473792357986
17,../GSE186341-PANACEA.tsv.xz,7,multi,,0.6,7200,1800,0,True,7221.371711492538,0.6890319199196834,103,0.3786764705882353,0.058252427184466,0.2621359223300971,0.3330654522725243,multi,0.6,7200,1800,0.00919724975444236,0.09843313141709763,0.3056379821958457,0.09886187720057313
1,../GSE186341-PANACEA.tsv.xz,7,multi,,0.55,7200,1800,0,True,7219.898176670075,0.6915319199196834,105,0.4022988505747126,0.0095238095238095,0.3047619047619048,0.3328868648986516,multi,0.55,7200,1800,0.009375837128315028,0.09879027427424049,0.3115727002967359,0.09923419074611509
5,../GSE186341-PANACEA.tsv.xz,7,multi,,0.75,7200,1800,0,True,7219.5086443424225,0.8513079489753735,96,0.3735408560311284,0.0208333333333333,0.28125,0.3336905080810786,multi,0.75,7200,1800,0.008572193945888026,0.12161542128219623,0.28486646884273,0.12191715713012663
20,../GSE186341-PANACEA.tsv.xz,7,multi,,0.7,7200,1800,0,True,7218.104660272598,0.981218773991614,95,0.374015748031496,0.0105263157894736,0.2526315789473684,0.333779801768015,multi,0.7,7200,1800,0.008482900258951692,0.14017411057023058,0.28189910979228483,0.14043055533237256
30,../GSE186341-PANACEA.tsv.xz,7,single,,0.35,7200,0,0,True,220.6976978778839,1.0470238587373766,164,0.7699530516431925,0.0,0.774390243902439,0.9853558353424412,single,0.35,7200,0,0.01464416465755871,0.14957483696248236,0.486646884272997,0.15028999770733537
23,../GSE186341-PANACEA.tsv.xz,7,multi,,0.8,7200,1800,0,True,7218.789673089981,1.066769621449241,92,0.368,0.0,0.108695652173913,0.334047682828824,multi,0.8,7200,1800,0.008215019198142692,0.15239566020703443,0.2729970326409496,0.15261691842768857
16,../GSE186341-PANACEA.tsv.xz,7,multi,,0.9,7200,1800,0,True,7218.346162557602,1.076277682631548,94,0.376,0.0212765957446808,0.202127659574468,0.3338690954549513,multi,0.9,7200,1800,0.008393606572015358,0.15375395466164973,0.27893175074183973,0.153982892573761
21,../GSE186341-PANACEA.tsv.xz,7,multi,,0.85,7200,1800,0,True,7219.657267808914,1.1367107128093072,91,0.364,0.0329670329670329,0.2417582417582417,0.3341369765157603,multi,0.85,7200,1800,0.008125725511206357,0.16238724468704388,0.27002967359050445,0.16259041992729256
37,../GSE186341-PANACEA.tsv.xz,7,single,,0.4,7200,0,0,True,223.64888787269592,1.1948204689068682,148,0.7474747474747475,0.0,0.7364864864864865,0.9867845343334226,single,0.4,7200,0,0.013215465666577372,0.17068863841526688,0.4391691394658753,0.1711994737633332
42,../GSE186341-PANACEA.tsv.xz,7,single,,0.45,7200,0,0,True,221.4700894355774,1.337677611764011,145,0.7512953367875648,0.0,0.7517241379310344,0.9870524153942316,single,0.45,7200,0,0.012947584605768373,0.191096801680573,0.4302670623145401,0.19153492516945253
10,../GSE186341-PANACEA.tsv.xz,7,multi,,0.95,7200,1800,0,True,7218.906623601913,1.4180501092541191,87,0.3717948717948718,0.1149425287356321,0.2068965517241379,0.3344941512635057,multi,0.95,7200,1800,0.0077685507634610235,0.20257858703630274,0.258160237388724,0.2027274877923301
2,../GSE186341-PANACEA.tsv.xz,7,multi,,1.0,7200,1800,0,True,7216.353106021881,1.7742688832457332,66,0.2972972972972973,0.0151515151515151,0.0454545454545454,0.3363693186891687,multi,1.0,7200,1800,0.005893383337798017,0.253466983320819,0.19584569732937684,0.25353548785312596
34,../GSE186341-PANACEA.tsv.xz,7,single,,0.5,7200,0,0,True,223.4084277153015,2.215073525069391,123,0.754601226993865,0.0,0.7804878048780488,0.989016876506831,single,0.5,7200,0,0.010983123493169033,0.316439075009913,0.3649851632047478,0.31662962147404267
32,../GSE186341-PANACEA.tsv.xz,7,single,,0.55,7200,0,0,True,220.49705576896667,2.5819791236047953,105,0.7142857142857143,0.0,0.7428571428571429,0.990624162871685,single,0.55,7200,0,0.009375837128315028,0.3688541605149708,0.3115727002967359,0.36897330262643735
9,../GSE186341-PANACEA.tsv.xz,7,multi,,1.25,7200,1800,0,True,7217.517852306366,3.101739502746117,41,0.2751677852348993,0.024390243902439,0.0,0.338601660862577,multi,1.25,7200,1800,0.0036610411643896775,0.4431056432494453,0.12166172106824925,0.44312076717517096
0,../GSE186341-PANACEA.tsv.xz,7,multi,,1.5,7200,1800,0,True,7215.921127080917,3.297393255772751,37,0.2781954887218045,0.081081081081081,0.0,0.3389588356103223,multi,1.5,7200,1800,0.003303866416644343,0.4710561793961073,0.10979228486646883,0.4710677654866194
29,../GSE186341-PANACEA.tsv.xz,7,single,,0.6,7200,0,0,True,220.97903084754944,3.4328265812319145,98,0.725925925925926,0.0,0.7346938775510204,0.9912492186802392,single,0.6,7200,0,0.008750781319760693,0.4904037973188449,0.29080118694362017,0.4904818657182434
39,../GSE186341-PANACEA.tsv.xz,7,single,,0.65,7200,0,0,True,220.50841879844663,3.554777800744109,91,0.7165354330708661,0.0,0.7362637362637363,0.9918742744887936,single,0.65,7200,0,0.008125725511206357,0.5078254001063013,0.27002967359050445,0.507890405902896
14,../GSE186341-PANACEA.tsv.xz,7,multi,,1.75,7200,1800,0,True,7092.305282592773,4.156709679324396,27,0.3,0.074074074074074,0.0,0.3398517724796857,multi,1.75,7200,1800,0.0024109295472810074,0.5938156684749137,0.08011869436201781,0.5938205627187313
26,../GSE186341-PANACEA.tsv.xz,7,single,,0.7,7200,0,0,True,215.3984785079956,4.250431553770744,79,0.7452830188679245,0.0,0.759493670886076,0.9929457987320296,single,0.7,7200,0,0.007054201267970355,0.6072045076815348,0.2344213649851632,0.607245482407489
7,../GSE186341-PANACEA.tsv.xz,7,multi,,2.25,7200,1800,0,True,3417.27115392685,4.522855814090828,19,0.25,0.0526315789473684,0.0,0.3405661219751763,multi,2.25,7200,1800,0.0016965800517903383,0.6461222591558327,0.05637982195845697,0.6461244865817338
4,../GSE186341-PANACEA.tsv.xz,7,multi,,2.0,7200,1800,0,True,2798.3210883140564,4.522855814090828,19,0.25,0.0,0.0,0.3405661219751763,multi,2.0,7200,1800,0.0016965800517903383,0.6461222591558327,0.05637982195845697,0.6461244865817338
3,../GSE186341-PANACEA.tsv.xz,7,multi,,2.5,7200,1800,0,True,3974.48619222641,4.522855814090828,19,0.25,0.0526315789473684,0.0,0.3405661219751763,multi,2.5,7200,1800,0.0016965800517903383,0.6461222591558327,0.05637982195845697,0.6461244865817338
41,../GSE186341-PANACEA.tsv.xz,7,single,,0.75,7200,0,0,True,217.095739364624,5.486415874328236,63,0.8289473684210527,0.0,0.8412698412698413,0.994374497723011,single,0.75,7200,0,0.005625502276989017,0.7837736963326051,0.18694362017804153,0.7837938844739368
40,../GSE186341-PANACEA.tsv.xz,7,single,,0.8,7200,0,0,True,220.6818723678589,5.685671765192229,53,0.8412698412698413,0.0,0.8301886792452831,0.9952674345923744,single,0.8,7200,0,0.004732565407625681,0.8122388235988899,0.1572700296735905,0.8122526107909078
33,../GSE186341-PANACEA.tsv.xz,7,single,,0.85,7200,0,0,True,220.35864400863647,6.295163290615957,32,0.8421052631578947,0.0,0.8125,0.9971426020180372,single,0.85,7200,0,0.002857397981962675,0.8993090415165652,0.09495548961424331,0.8993135809475306
44,../GSE186341-PANACEA.tsv.xz,7,single,,0.9,7200,0,0,True,221.0377681255341,6.636626705250103,22,1.0,0.0,1.0,0.9980355388874008,single,0.9,7200,0,0.0019644611125993394,0.9480895293214433,0.06528189910979229,0.9480915645212855
43,../GSE186341-PANACEA.tsv.xz,7,single,,0.95,7200,0,0,True,215.5407712459564,6.856965688300951,8,1.0,0.0,1.0,0.9992856505045092,single,0.95,7200,0,0.0007143494954906688,0.9795665269001359,0.023738872403560828,0.9795667873700069
35,../GSE186341-PANACEA.tsv.xz,7,single,,1.0,7200,0,0,True,217.5041642189026,7.0,0,,,,1.0,single,1.0,7200,0,0.0,1.0,0.0,1.0
