,C3L-00144,C3N-00175,C3N-00560,C3N-02089,C3N-00580,C3L-00095,C3N-01030,C3N-01489,C3L-00080,C3L-00279
ABL1,0.69495505,1.1284171,-1.1346359,-0.74727553,-0.799529,-1.9237058,-1.5427908,0.86132795,1.3895079,-1.8446637
AKT1,0.27498448,0.36669,0.4928132,2.2082243,0.93892276,-2.2443013,3.1382806,3.685886,0.420463,-0.7413513
AKT2,0.8840412,-0.5402641,1.6041499,1.6312042,1.6098458,0.3411981,1.4872426,0.4623471,1.8237479,-0.59349227
AKT3,-2.1518955,-1.4579521,-0.6347828,1.9701793,2.292131,0.33101618,2.5329463,1.3795757,-0.06306094,1.4203802
ALK,-0.102852166,-0.985386,-0.09817757,0.8262138,2.3214533,0.15111169,0.99938947,0.13854241,-0.17515156,0.16713661
ARAF,0.4876753,-0.15650466,0.22352557,-0.5983064,0.4020418,-3.8636491,0.992807,-0.3167579,0.8164517,0.15691781
ATM,0.2512349,1.3365494,1.1370643,1.2008257,-1.0365478,0.78040326,-0.7703226,-0.3069981,-1.0363389,-0.498406
ATR,1.6571953,3.3833733,-1.2482738,-0.5301105,-0.045711655,0.97201127,-0.43489155,1.5573179,-0.64980465,-1.8941404
AURKA,0.98887813,-0.65598303,1.572271,-0.01652763,-1.0190985,-1.367039,-0.65299636,-0.43896395,-0.09917121,2.0641444
AURKB,-0.6048872,0.6055512,2.3753717,-1.3425438,-2.2108324,-0.09126399,-1.659822,-0.09190375,-1.2625996,-1.059926
BRAF,1.0433095,2.5586746,-1.4339625,0.00027485113,1.0377357,-0.4945086,0.91548896,0.11436245,-0.9950403,0.21976879
BTK,1.9333237,-1.3860817,-0.09817666,0.6793938,-0.27097413,-2.4398093,-1.8426247,0.1502804,-0.17515044,0.16713548
BUB1,-0.53568727,0.16642503,1.0037687,0.08720994,-0.15747042,-0.767174,0.3264654,-0.6161947,0.48042044,0.23133415
CDC7,1.3453726,0.57433224,-0.17009196,2.5835264,-2.0815246,0.47620365,-0.26255184,1.2930452,0.33511484,-0.6516353
CDK1,0.06493476,-1.1536171,-0.6708871,1.0080808,0.6525514,-2.5830584,-1.501285,1.5598373,0.069105074,-1.5153606
CDK10,-1.7710048,-0.65243083,-1.7121515,-1.2472801,-0.90663564,-1.0602119,-0.09260825,3.189373,-0.085901,-0.2733569
CDK2,0.9033469,-0.84235704,1.9014633,5.567614,3.1912096,-2.1806417,-1.1588379,0.22699702,0.021681113,-1.8157727
CDK20,-1.7397201,-0.64032626,-1.6817054,-1.2448279,-0.91125494,-1.0212393,-0.10466758,3.1168916,-0.100650184,-0.2513544
CDK3,-1.4410152,-1.5859834,-1.6292558,-0.6626161,-0.9217713,-1.3448422,1.2710078,2.985138,0.3905582,-0.21002425
CDK4,-1.6122874,-2.6824088,-0.5823157,1.0525374,-0.9751035,-3.059009,0.07710495,-0.50492644,-0.032171637,-2.8957481
CDK5,-1.8168825,-0.39704227,0.22871713,-1.7867441,1.7812654,-3.3856628,-0.9644336,2.2622533,0.42693752,0.7447024
CDK6,-1.196738,-1.0991391,-2.1560912,-1.8855641,-1.2152545,-3.602504,-0.3059703,2.09274,-0.075133234,0.09435281
CDK7,-0.43243834,-0.3818657,-1.5095288,1.4461545,0.23372813,-2.7567508,-1.3442566,0.8047627,-2.150486,-2.4633293
CDK8,-1.7710048,-0.65243083,-1.7121515,-1.2472801,-0.90663564,-1.0602119,-0.09260825,3.189373,-0.085901,-0.2733569
CDK9,-2.48582,-0.20940703,-1.6714747,-0.75660145,0.24541523,-1.6203483,0.5052811,1.3213388,2.2337031,-0.4691175
CLK1,-0.14545861,-0.075121716,0.06830356,1.0571936,1.5423893,-1.3806245,-0.1777911,-0.3964616,1.3470138,-1.1389118
CLK2,0.8637915,0.04626081,0.5190834,-0.22689207,-0.68033785,-0.19805534,-0.4474438,-1.42811,-0.38266557,0.7062842
CSK,-0.4964925,1.5557353,-0.18619671,-0.041292906,1.5085682,0.44846877,0.96002394,-0.30229932,-1.9687665,0.9246013
DAPK3,1.2554163,-0.65663075,-1.5431106,-0.48575845,-0.4740833,-1.6448729,0.46788475,-1.0097984,7.3256955,-2.0676296
DYRK2,-0.92434114,-2.5292313,1.741088,-1.8414577,-1.1293671,1.3693408,1.418082,-1.8075172,0.42604303,0.3855584
EGFR,1.0132728,0.48177186,0.8543287,1.8894147,0.017024273,0.28931335,-1.4967607,1.4147996,0.5997232,0.8477308
EPHA2,-0.15385748,-0.034860317,-0.10761781,-0.21981937,-1.053888,0.16544381,-0.16280638,-0.30708766,-0.19197227,0.18298611
ERBB2,0.120604485,0.10926011,-0.13885166,-0.3987792,-0.47965604,0.49564734,-0.18019597,0.7459968,0.00088279956,-0.37293175
FGFR1,-0.13792239,-0.042713277,-0.13164662,-0.35109544,2.5059943,0.20282762,-0.4092788,0.0068766223,-1.2409952,0.30702493
FGFR2,-0.102851704,-0.031822752,-0.0981769,-0.27865958,3.2176867,0.15111111,-0.14854023,0.005137207,-1.524217,0.16713616
FGR,-0.00021180409,0.33024064,0.5909482,-0.13404806,1.3913554,-0.22418495,-1.2994981,0.093364574,-0.122787386,-0.22856688
FYN,0.6299162,1.2598946,-1.0011568,0.6684022,1.0523286,-0.9724799,-1.1243907,0.40292242,0.33109158,-1.1370568
GRK5,1.1051494,2.8747196,0.52558815,2.950428,-0.14900167,-1.0637935,1.0618801,0.21764952,0.25486186,-2.2490206
GSK3A,-0.09226208,0.017067382,0.42947495,1.7792448,0.8920172,-1.1762943,0.47954476,-0.948552,0.060689352,-1.9091134
GSK3B,1.4507505,0.6415038,1.0509408,6.6817474,4.344875,-3.2512348,0.4000217,2.9876425,1.2231529,0.24449153
HCK,-0.18210314,-0.43185773,-1.1755439,-0.05632983,-0.6329879,-0.44192427,-1.8531944,0.6904846,0.09114818,-1.2196387
IGF1R,-0.58971983,-0.5243053,0.9752909,-0.6697149,-0.04225605,1.0847265,0.10027392,-0.25258598,-0.4834862,0.8307822
ILK,0.68735296,-0.97427505,-1.7840965,2.477562,2.6272945,-0.045936387,2.4066198,2.3090258,-0.20738387,1.2444111
INSR,-0.85281396,2.4648306,-1.2620835,1.5995914,0.95117784,-0.27970532,-1.3391433,3.3161712,-0.73764163,1.0791153
KSR1,-2.3657205,2.4986825,0.12225279,1.1824478,0.9164873,-0.7457532,0.9702395,0.7406464,-1.7027221,1.3398746
LATS1,0.15266694,0.24767081,1.5728922,-0.30501547,-0.112205446,-1.5972782,-0.1628147,-0.18260157,-0.450396,-1.2352892
LCK,-0.07528746,1.3147472,-0.3055464,0.6787604,0.0012248933,-0.4265174,-1.7598706,0.636983,0.39863953,-0.09728638
LIMK2,0.8735293,-1.0305111,-1.2875519,-1.0210239,-0.29486743,0.16545023,-0.16280967,0.0056204633,0.20440564,0.18299676
LRRK2,-0.2502126,-0.24723049,0.7118035,0.90241075,-0.13989727,0.28571555,2.7473886,-0.9104405,0.62507904,0.13427804
LYN,0.45603433,0.46074602,-1.023228,-0.42677146,-0.86282057,-0.25095862,-1.1468984,0.22733074,1.2180738,-1.364106
MAPK3,2.1393278,0.21258114,-0.33891806,2.4046426,2.0083258,-1.3173128,0.2788015,0.28632703,-1.460513,-1.5345881
MARK1,-0.11274303,-0.034863297,-1.301138,2.8729908,-0.08897127,-2.3335366,0.19505246,0.39148042,-0.19197883,-1.3472393
MARK2,0.122842275,0.9109166,-3.362699,0.3145351,-0.3429458,-0.37489998,2.2345524,-1.2297931,-0.25991115,0.047909405
MARK3,0.71869826,0.21841672,1.1871146,-1.4016794,2.703094,0.91933197,0.8632364,-3.4622352,-0.47659215,0.69700646
MELK,-0.7255142,-0.67670524,-0.51883465,-1.0174237,-0.38322446,0.213718,-0.80882925,-1.4531813,3.3628385,-1.3755713
MET,-0.22338568,1.2936593,-0.15220621,4.3242316,0.62524104,1.0614628,0.08480547,1.3126189,-0.41090438,0.25881445
MTOR,0.9234183,-0.20508306,1.847087,0.8907663,-0.08655873,0.53017557,1.0475265,-0.14834858,1.1506006,-1.012227
NEK6,2.7244327,-0.63830286,-0.52426744,-0.3736054,-0.3633027,-1.1639407,-1.4927247,-2.1111882,0.13992427,-1.1685022
NEK9,1.1262031,1.6694947,-2.7650692,2.451159,-1.3338393,-0.48725256,0.8219767,0.063087,0.5952329,0.48123276
NLK,1.6826459,-0.87895113,-0.1609357,0.3861661,1.5958657,-1.7910651,0.033628866,0.3461097,0.07815472,-0.10874896
NUAK1,-0.3395268,0.58392835,2.353916,-0.29916748,1.2942953,3.1364627,1.8394489,0.40361464,0.21499857,1.4521147
PAK1,0.22775665,0.10107605,0.4890027,-1.0247806,1.2724558,-1.5135889,0.6841238,-1.2896032,1.0783418,0.590429
PAK2,-1.9087396,-0.5165244,-0.82489216,-1.5536419,0.018840687,-0.96726865,-1.4350964,-0.3875988,0.27768052,0.97415483
PAK3,-0.112749815,-2.3622882,-1.3975797,2.0652163,0.5125223,-0.0097876815,-0.69414896,-1.7171842,-0.6566883,0.18299754
PAK4,-1.8609542,2.7365746,2.9752827,0.6408615,-1.506617,-0.5412718,1.6334774,0.22856891,1.0123429,0.33000776
PDPK1,-0.33698192,1.4366958,-0.56129014,-1.6490821,-0.020667544,-0.8258742,2.499829,0.2593949,0.06499086,-1.6230918
PIM1,1.022709,-2.1138203,0.31782433,1.3451881,0.72108924,-0.82778054,-1.8596543,-1.9829932,3.3732045,1.2923443
PKN1,0.2261005,-1.3779404,-0.50726837,-0.6035661,0.65769464,0.5323553,-2.6658578,-0.40653425,-0.400625,-0.3386056
PLK1,0.8939963,2.6773758,0.6792606,0.08965892,-0.10566077,-1.8456601,-1.5550063,1.0241665,-0.7487665,-1.3123771
PLK3,0.23593362,1.7100614,-0.11615788,-1.0261964,0.21709158,1.0514835,-0.44033897,0.0060719796,1.5480484,0.82343215
PLK4,0.625985,-1.1585388,-0.09817679,-0.27865937,-0.27096176,-0.5012292,-0.14854008,0.0051327245,-0.17515062,0.16713597
PRKDC,-0.5361277,2.2545972,0.12236573,2.016908,-0.18770395,-0.75073075,-1.1975677,1.638834,-1.3588692,-1.5358967
PTK6,0.078313425,-1.2024639,0.04832993,-0.1800143,0.26904145,0.17870066,-1.3807421,0.5217956,-0.20738192,-1.7684991
RAF1,1.3031173,-0.76707464,-0.3671052,0.04916083,-0.021604586,0.15474392,-1.8385137,1.1450955,3.749496,0.52191967
RET,-0.11275613,1.2906762,1.146838,0.9436632,0.30341092,1.1683571,-0.08964922,0.7157087,1.3469629,0.24773672
RIPK2,1.6561389,-2.1825144,-0.9009578,-0.14178443,-0.20636043,1.0733594,-0.40905473,-0.610781,0.058936715,1.0113716
ROCK1,0.4902954,0.86417735,-0.9067493,1.2246335,-0.45316204,-0.76383555,0.97002906,-0.48231915,3.6911685,1.6676983
ROCK2,0.15326828,0.6516214,-0.47339693,-0.31319034,0.39091203,-0.58497864,0.54982907,-1.2538612,2.4902284,1.6309043
SGK1,0.15751238,1.0575763,-1.0762514,1.9201523,1.0917976,0.333739,1.5531911,0.10656724,0.65845436,1.5677787
SGK2,-0.87948847,2.6628106,-2.848223,-0.62150604,-0.4017495,1.7620356,-0.116107166,1.8462318,-0.8209134,0.025117258
SGK3,-0.40554523,0.6377183,-2.6305938,1.0990955,1.8153521,0.13497223,0.8794754,0.44200394,-0.35649487,0.45080525
SIK1,-1.0792733,-0.034860145,-0.43460009,-0.3050166,-0.36838534,0.4267106,-0.16280812,0.25983524,-0.19197637,0.35667408
SIK2,-0.6577546,-0.031817652,-0.0981767,-0.2979576,-0.1364101,1.8356879,-0.5629269,-0.34592357,-0.17515051,0.16713555
SRC,-0.6607542,0.50929,-0.92415076,1.8163614,1.0919306,-0.09780702,0.07239053,2.5145698,-2.1011019,-0.570501
SRPK2,0.44646284,-0.75712615,-0.47227696,0.98795617,0.010927276,-0.20124866,2.5799675,-0.34743476,2.4689586,0.308234
STK11,-0.37146467,-0.26434916,0.8848813,-0.39492714,0.2956975,-0.29933566,0.29188833,0.1599906,0.549299,-0.5962813
STK38,-0.31498656,-0.43503395,0.86500514,-0.39411634,-0.3708424,0.067818776,-2.0838478,-0.41741997,-0.20026952,-0.9948799
STK39,-1.0418938,0.009982817,1.5795953,-0.2786531,-2.7893221,-1.4956073,-0.60324824,-1.4126898,-0.1751467,-0.5665373
TAOK2,-0.10287036,-0.03183285,-1.4345402,-0.27853885,-0.27086636,0.15109055,-0.14855848,0.0051269596,-0.17517179,0.16711403
TBK1,0.4388074,1.5729318,0.25231934,-1.2661382,0.37068185,0.73517483,1.4950808,1.1282706,-1.1683664,-2.362542
TRIB3,2.058914,-0.33124095,2.67451,-0.60906625,1.9679391,-0.92884654,0.7385486,-2.1767771,0.7979497,1.5717751
TTK,-1.0161374,-0.53130394,-0.5521722,0.71590084,-0.026245428,1.7962705,1.8399091,-0.3220684,-0.5361103,-2.4252114
UHMK1,-0.6462649,0.38894188,0.6491199,1.2164233,-0.0891839,0.43063095,0.46286264,0.031287033,-2.17939,-1.2119063
ULK1,-1.0562247,-0.24802323,-0.28968164,-0.055666912,-0.67396134,1.3795357,0.29668477,-1.8324003,-0.5101603,-1.4133912
ULK3,1.2348772,-0.10751574,-1.1253433,-0.5457618,0.7496576,-1.0591524,0.11321011,-1.4703465,-0.13128112,-0.44988507
VRK1,0.65196353,0.11591887,-1.8204957,0.41294083,0.71297413,-1.897794,-1.0980824,4.316962,4.178768,-2.557859
VRK2,0.24202695,0.6147172,0.08959626,-0.8998174,-0.61955476,-0.8349619,0.15059333,0.0051270826,2.610638,0.57837164
WEE1,0.41445363,0.5530339,-0.38745856,0.9060632,-1.0130703,-0.67547536,0.43337226,-0.24910161,1.5250788,-0.77038825
WNK1,-0.06601383,0.40578547,-0.99353516,0.14251989,-0.1801578,0.25814503,0.76068383,0.1866971,0.045357358,-1.9709038
