,lambda,type,intersection_edges,union_edges,node_union,int_kinases,jaccard,seed
0,0.0,single,11,514,265,1,0.0019455252918287938,0
1,0.0,multi,17,435,251,1,0.0022988505747126436,0
2,0.1,single,7,464,247,1,0.0021551724137931034,0
3,0.1,multi,19,364,245,2,0.005494505494505495,0
4,0.2,single,1,450,240,0,0.0,0
5,0.2,multi,15,362,243,1,0.0027624309392265192,0
6,0.3,single,1,438,238,0,0.0,0
7,0.3,multi,20,341,240,2,0.005865102639296188,0
8,0.4,single,2,426,234,1,0.002347417840375587,0
9,0.4,multi,24,333,240,0,0.0,0
10,0.5,single,2,397,229,1,0.0025188916876574307,0
11,0.5,multi,25,316,237,2,0.006329113924050633,0
12,0.6,single,0,369,220,0,0.0,0
13,0.6,multi,28,307,234,2,0.006514657980456026,0
14,0.7,single,0,329,206,0,0.0,0
15,0.7,multi,28,297,229,3,0.010101010101010102,0
16,0.8,single,0,301,197,0,0.0,0
17,0.8,multi,28,292,228,7,0.023972602739726026,0
18,0.9,single,0,270,173,0,0.0,0
19,0.9,multi,30,285,228,4,0.014035087719298246,0
20,1.0,single,0,239,168,0,0.0,0
21,1.0,multi,29,277,226,5,0.018050541516245487,0
0,0.0,single,10,510,264,1,0.00196078431372549,1
1,0.0,multi,13,435,253,1,0.0022988505747126436,1
2,0.1,single,5,466,251,1,0.002145922746781116,1
3,0.1,multi,23,368,245,1,0.002717391304347826,1
4,0.2,single,1,452,244,0,0.0,1
5,0.2,multi,22,360,245,1,0.002777777777777778,1
6,0.3,single,1,435,236,0,0.0,1
7,0.3,multi,22,343,242,0,0.0,1
8,0.4,single,2,429,236,1,0.002331002331002331,1
9,0.4,multi,28,328,237,1,0.003048780487804878,1
10,0.5,single,2,401,230,1,0.0024937655860349127,1
11,0.5,multi,22,318,237,3,0.009433962264150943,1
12,0.6,single,0,364,220,0,0.0,1
13,0.6,multi,32,309,234,5,0.016181229773462782,1
14,0.7,single,0,334,206,0,0.0,1
15,0.7,multi,33,305,235,4,0.013114754098360656,1
16,0.8,single,0,301,196,0,0.0,1
17,0.8,multi,24,289,228,3,0.010380622837370242,1
18,0.9,single,0,271,176,0,0.0,1
19,0.9,multi,34,281,228,6,0.021352313167259787,1
20,1.0,single,0,249,170,0,0.0,1
21,1.0,multi,28,278,226,5,0.017985611510791366,1
0,0.0,single,12,499,264,1,0.002004008016032064,2
1,0.0,multi,13,452,256,1,0.0022123893805309734,2
2,0.1,single,3,465,250,1,0.002150537634408602,2
3,0.1,multi,17,383,247,1,0.0026109660574412533,2
4,0.2,single,1,445,240,0,0.0,2
5,0.2,multi,25,361,246,1,0.002770083102493075,2
6,0.3,single,1,443,237,0,0.0,2
7,0.3,multi,18,348,243,1,0.0028735632183908046,2
8,0.4,single,2,427,234,1,0.00234192037470726,2
9,0.4,multi,20,346,240,1,0.002890173410404624,2
10,0.5,single,2,403,228,1,0.0024813895781637717,2
11,0.5,multi,32,327,238,5,0.01529051987767584,2
12,0.6,single,0,363,218,0,0.0,2
13,0.6,multi,32,312,233,5,0.016025641025641024,2
14,0.7,single,0,338,208,0,0.0,2
15,0.7,multi,35,292,228,3,0.010273972602739725,2
16,0.8,single,0,308,198,0,0.0,2
17,0.8,multi,40,290,227,10,0.034482758620689655,2
18,0.9,single,0,268,176,0,0.0,2
19,0.9,multi,26,278,227,5,0.017985611510791366,2
20,1.0,single,0,243,169,0,0.0,2
21,1.0,multi,26,276,225,4,0.014492753623188406,2
0,0.0,single,10,515,264,1,0.001941747572815534,3
1,0.0,multi,11,448,255,1,0.002232142857142857,3
2,0.1,single,6,464,247,1,0.0021551724137931034,3
3,0.1,multi,23,374,244,1,0.00267379679144385,3
4,0.2,single,1,456,243,0,0.0,3
5,0.2,multi,20,362,245,1,0.0027624309392265192,3
6,0.3,single,1,435,236,0,0.0,3
7,0.3,multi,23,350,244,0,0.0,3
8,0.4,single,2,431,235,1,0.002320185614849188,3
9,0.4,multi,25,342,240,1,0.0029239766081871343,3
10,0.5,single,2,399,226,1,0.002506265664160401,3
11,0.5,multi,24,326,234,5,0.015337423312883436,3
12,0.6,single,0,367,220,0,0.0,3
13,0.6,multi,33,300,227,4,0.013333333333333334,3
14,0.7,single,0,338,207,0,0.0,3
15,0.7,multi,30,297,231,3,0.010101010101010102,3
16,0.8,single,0,306,196,0,0.0,3
17,0.8,multi,25,293,228,3,0.010238907849829351,3
18,0.9,single,0,266,176,0,0.0,3
19,0.9,multi,37,287,226,5,0.017421602787456445,3
20,1.0,single,0,242,169,0,0.0,3
21,1.0,multi,43,266,218,6,0.022556390977443608,3
0,0.0,single,11,509,262,1,0.0019646365422396855,4
1,0.0,multi,13,468,261,1,0.002136752136752137,4
2,0.1,single,6,464,247,1,0.0021551724137931034,4
3,0.1,multi,13,373,242,1,0.002680965147453083,4
4,0.2,single,1,454,243,0,0.0,4
5,0.2,multi,22,364,245,2,0.005494505494505495,4
6,0.3,single,1,438,236,0,0.0,4
7,0.3,multi,29,353,243,1,0.0028328611898017,4
8,0.4,single,2,428,236,1,0.002336448598130841,4
9,0.4,multi,29,336,238,1,0.002976190476190476,4
10,0.5,single,2,393,226,1,0.002544529262086514,4
11,0.5,multi,29,342,237,2,0.005847953216374269,4
12,0.6,single,0,371,222,0,0.0,4
13,0.6,multi,37,310,234,9,0.02903225806451613,4
14,0.7,single,0,333,205,0,0.0,4
15,0.7,multi,34,297,233,6,0.020202020202020204,4
16,0.8,single,0,305,196,0,0.0,4
17,0.8,multi,31,288,229,5,0.017361111111111112,4
18,0.9,single,0,271,174,0,0.0,4
19,0.9,multi,32,278,225,6,0.02158273381294964,4
20,1.0,single,0,242,169,0,0.0,4
21,1.0,multi,23,276,227,3,0.010869565217391304,4
0,0.0,single,12,528,266,2,0.003787878787878788,5
1,0.0,multi,12,445,255,2,0.0044943820224719105,5
2,0.1,single,5,460,247,1,0.002173913043478261,5
3,0.1,multi,19,376,247,1,0.0026595744680851063,5
4,0.2,single,1,466,244,0,0.0,5
5,0.2,multi,18,363,244,1,0.0027548209366391185,5
6,0.3,single,1,435,236,0,0.0,5
7,0.3,multi,24,337,241,3,0.008902077151335312,5
8,0.4,single,2,430,233,1,0.002325581395348837,5
9,0.4,multi,24,343,238,2,0.0058309037900874635,5
10,0.5,single,2,406,228,1,0.0024630541871921183,5
11,0.5,multi,26,327,234,3,0.009174311926605505,5
12,0.6,single,0,370,220,0,0.0,5
13,0.6,multi,26,316,230,2,0.006329113924050633,5
14,0.7,single,0,330,204,0,0.0,5
15,0.7,multi,39,298,231,3,0.010067114093959731,5
16,0.8,single,0,306,196,0,0.0,5
17,0.8,multi,29,299,231,6,0.020066889632107024,5
18,0.9,single,0,267,174,0,0.0,5
19,0.9,multi,26,284,226,5,0.017605633802816902,5
20,1.0,single,0,244,170,0,0.0,5
21,1.0,multi,35,268,222,4,0.014925373134328358,5
0,0.0,single,10,518,265,2,0.003861003861003861,6
1,0.0,multi,14,455,256,2,0.004395604395604396,6
2,0.1,single,5,467,247,1,0.0021413276231263384,6
3,0.1,multi,18,379,245,1,0.002638522427440633,6
4,0.2,single,1,468,246,0,0.0,6
5,0.2,multi,17,364,244,1,0.0027472527472527475,6
6,0.3,single,1,446,239,0,0.0,6
7,0.3,multi,27,345,241,2,0.005797101449275362,6
8,0.4,single,2,427,233,1,0.00234192037470726,6
9,0.4,multi,23,338,239,0,0.0,6
10,0.5,single,2,399,225,1,0.002506265664160401,6
11,0.5,multi,22,320,237,2,0.00625,6
12,0.6,single,0,368,222,0,0.0,6
13,0.6,multi,36,307,233,1,0.003257328990228013,6
14,0.7,single,0,332,205,0,0.0,6
15,0.7,multi,35,292,231,5,0.017123287671232876,6
16,0.8,single,0,306,194,0,0.0,6
17,0.8,multi,33,293,231,6,0.020477815699658702,6
18,0.9,single,0,265,175,0,0.0,6
19,0.9,multi,38,280,228,4,0.014285714285714285,6
20,1.0,single,0,247,169,0,0.0,6
21,1.0,multi,33,273,227,4,0.014652014652014652,6
0,0.0,single,11,506,262,1,0.001976284584980237,7
1,0.0,multi,15,438,257,1,0.00228310502283105,7
2,0.1,single,6,469,247,1,0.0021321961620469083,7
3,0.1,multi,20,392,245,2,0.00510204081632653,7
4,0.2,single,2,457,241,0,0.0,7
5,0.2,multi,14,359,239,1,0.002785515320334262,7
6,0.3,single,1,449,238,0,0.0,7
7,0.3,multi,20,343,238,5,0.014577259475218658,7
8,0.4,single,2,431,236,1,0.002320185614849188,7
9,0.4,multi,25,335,237,2,0.005970149253731343,7
10,0.5,single,2,401,230,1,0.0024937655860349127,7
11,0.5,multi,27,314,235,2,0.006369426751592357,7
12,0.6,single,0,368,219,0,0.0,7
13,0.6,multi,20,325,233,1,0.003076923076923077,7
14,0.7,single,0,338,207,0,0.0,7
15,0.7,multi,41,295,229,6,0.020338983050847456,7
16,0.8,single,0,307,198,0,0.0,7
17,0.8,multi,47,292,232,8,0.0273972602739726,7
18,0.9,single,0,271,174,0,0.0,7
19,0.9,multi,29,283,229,4,0.014134275618374558,7
20,1.0,single,0,243,169,0,0.0,7
21,1.0,multi,28,276,225,5,0.018115942028985508,7
0,0.0,single,11,513,265,1,0.001949317738791423,8
1,0.0,multi,12,460,258,1,0.002173913043478261,8
2,0.1,single,7,464,247,1,0.0021551724137931034,8
3,0.1,multi,21,367,247,1,0.0027247956403269754,8
4,0.2,single,1,453,241,0,0.0,8
5,0.2,multi,16,364,244,1,0.0027472527472527475,8
6,0.3,single,1,438,237,0,0.0,8
7,0.3,multi,18,348,239,1,0.0028735632183908046,8
8,0.4,single,2,429,234,1,0.002331002331002331,8
9,0.4,multi,30,324,236,4,0.012345679012345678,8
10,0.5,single,2,402,227,1,0.0024875621890547263,8
11,0.5,multi,25,341,241,1,0.002932551319648094,8
12,0.6,single,0,368,221,0,0.0,8
13,0.6,multi,34,301,229,3,0.009966777408637873,8
14,0.7,single,0,334,206,0,0.0,8
15,0.7,multi,36,299,232,7,0.023411371237458192,8
16,0.8,single,0,310,198,0,0.0,8
17,0.8,multi,28,284,227,5,0.017605633802816902,8
18,0.9,single,0,260,172,0,0.0,8
19,0.9,multi,43,284,226,6,0.02112676056338028,8
20,1.0,single,0,241,169,0,0.0,8
21,1.0,multi,29,280,225,7,0.025,8
0,0.0,single,8,515,264,1,0.001941747572815534,9
1,0.0,multi,17,445,256,1,0.0022471910112359553,9
2,0.1,single,3,475,250,1,0.002105263157894737,9
3,0.1,multi,19,363,244,1,0.0027548209366391185,9
4,0.2,single,1,448,240,0,0.0,9
5,0.2,multi,18,356,244,1,0.0028089887640449437,9
6,0.3,single,1,438,238,0,0.0,9
7,0.3,multi,26,334,240,2,0.005988023952095809,9
8,0.4,single,2,418,233,1,0.0023923444976076554,9
9,0.4,multi,25,336,239,1,0.002976190476190476,9
10,0.5,single,2,405,229,1,0.0024691358024691358,9
11,0.5,multi,31,326,239,7,0.02147239263803681,9
12,0.6,single,0,371,219,0,0.0,9
13,0.6,multi,30,309,234,5,0.016181229773462782,9
14,0.7,single,0,343,210,0,0.0,9
15,0.7,multi,25,298,231,3,0.010067114093959731,9
16,0.8,single,0,300,195,0,0.0,9
17,0.8,multi,28,293,226,6,0.020477815699658702,9
18,0.9,single,0,262,173,0,0.0,9
19,0.9,multi,32,286,226,7,0.024475524475524476,9
20,1.0,single,0,242,169,0,0.0,9
21,1.0,multi,49,277,230,6,0.021660649819494584,9
